time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-11T18:04:02.820Z,46.325,-111.606,-2,1.3,ml,11,121,0.3268,0.22,mb,mb90013418,2023-05-11T18:55:13.550Z,"Western Montana",quarry blast,11.14,31.61,0.173531670255722,6,reviewed,mb,mb
2023-05-11T18:03:53.605Z,65.0796,-152.0826,7.8,1.4,ml,,,,0.21,ak,ak02360y50v4,2023-05-11T18:06:30.793Z,"10 km S of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-05-11T18:00:25.330Z,38.1181667,-122.175,-0.08,1.48,md,12,87,0.02086,0.13,nc,nc73886621,2023-05-11T19:04:37.533Z,"5km E of Vallejo, CA",quarry blast,0.29,31.61,0.221,15,reviewed,nc,nc
2023-05-11T17:42:39.550Z,19.4061660766602,-155.287002563477,1.28999996185303,1.82000005,md,11,110,,0.0900000036,hv,hv73396812,2023-05-11T17:48:10.790Z,"6 km SW of Volcano, Hawaii",earthquake,0.34,0.25,1.03999996,7,automatic,hv,hv
2023-05-11T17:16:36.640Z,47.44833333333333,-123.28166666666667,44.04,2.62,ml,68,33,0.06406,0.27,uw,uw61923556,2023-05-11T20:27:51.557Z,"11 km WNW of Hoodsport, Washington",earthquake,0.42,0.64,0.20502320409636177,50,reviewed,uw,uw
2023-05-11T17:13:33.500Z,38.7433319,-122.8231659,4.23,1.09,md,16,195,0.03127,0.02,nc,nc73886596,2023-05-11T18:00:14.207Z,"7km WSW of The Geysers, CA",earthquake,0.53,0.98,0.11,16,automatic,nc,nc
2023-05-11T17:13:16.260Z,19.1240005493164,-155.488494873047,32.5400009155273,2.07999992,md,29,175,,0.129999995,hv,hv73396787,2023-05-11T17:16:35.080Z,"8 km S of Pāhala, Hawaii",earthquake,0.8,0.920000017,2.07999992,4,automatic,hv,hv
2023-05-11T17:12:49.760Z,48.782666666666664,-123.02666666666667,56.31,1.3800000000000001,ml,15,153,0.1603,0.11,uw,uw61923551,2023-05-11T19:28:28.150Z,"21 km NNW of Orcas, Washington",earthquake,0.94,0.56,0.10242284555905656,10,reviewed,uw,uw
2023-05-11T17:07:13.490Z,19.4141674041748,-155.264663696289,2.04999995231628,1.74,ml,14,110,,0.129999995,hv,hv73396782,2023-05-11T17:12:43.310Z,"4 km SW of Volcano, Hawaii",earthquake,0.38,0.720000029,0.39,6,automatic,hv,hv
2023-05-11T17:06:54.350Z,19.2756666666667,-155.42,28.81,1.59,md,20,62,,0.12,hv,hv73396772,2023-05-11T22:04:39.560Z,"Island of Hawaii, Hawaii",earthquake,0.63,0.8,0.258906421929283,13,reviewed,hv,hv
2023-05-11T17:03:25.340Z,35.8035,-117.6301667,6.54,1.88,ml,31,123,0.1096,0.13,ci,ci40222967,2023-05-11T19:47:30.590Z,"21km NNE of Ridgecrest, CA",earthquake,0.18,0.58,0.149,24,reviewed,ci,ci
2023-05-11T16:52:57.459Z,-19.2581,-69.7845,85.701,4,mb,19,131,0.691,0.79,us,us6000kb6d,2023-05-11T20:40:41.040Z,"38 km W of Camiña, Chile",earthquake,5.62,5.308,0.164,11,reviewed,us,us
2023-05-11T16:52:35.013Z,60.1544,-153.0461,120.3,1.5,ml,,,,0.59,ak,ak02360x8mb1,2023-05-11T16:55:59.391Z,"70 km E of Port Alsworth, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-05-11T16:50:58.470Z,38.7383347,-122.8280029,4.89,1.45,md,32,109,0.03365,0.05,nc,nc73886576,2023-05-11T19:52:12.873Z,"8km SW of The Geysers, CA",earthquake,0.29,0.62,0.19,30,automatic,nc,nc
2023-05-11T16:35:01.570Z,19.1511669158936,-155.496673583984,36.1199989318848,2.18000007,md,40,142,,0.109999999,hv,hv73396752,2023-05-11T16:38:11.330Z,"6 km SSW of Pāhala, Hawaii",earthquake,0.71,0.829999983,1.03999996,19,automatic,hv,hv
2023-05-11T16:33:17.880Z,35.0563333,-118.3406667,-0.93,1.16,ml,16,51,0.06559,0.17,ci,ci40222935,2023-05-11T19:37:02.260Z,"13km SE of Tehachapi, CA",quarry blast,0.4,31.61,0.107,20,reviewed,ci,ci
2023-05-11T16:26:41.520Z,34.0991667,-116.6368333,5.44,1.21,ml,24,51,0.06119,0.12,ci,ci40222927,2023-05-11T19:33:18.184Z,"8km NW of Morongo Valley, CA",earthquake,0.2,0.5,0.148,21,reviewed,ci,ci
2023-05-11T16:26:29.993Z,55.4068,162.9906,15.399,4.7,mb,97,98,3.492,0.67,us,us6000kb6a,2023-05-11T16:54:55.040Z,"96 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.38,4.939,0.051,117,reviewed,us,us
2023-05-11T16:20:49.031Z,2.252,-30.7597,10,4.6,mb,47,89,14.474,0.44,us,us6000kb6b,2023-05-11T16:49:23.040Z,"central Mid-Atlantic Ridge",earthquake,11.48,1.882,0.081,48,reviewed,us,us
2023-05-11T16:00:53.050Z,44.7926667,-110.8336667,4.45,0.98,ml,14,108,0.01275,0.13,uu,uu60539656,2023-05-11T18:13:32.020Z,"22 km SSW of Mammoth, Wyoming",earthquake,0.37,0.54,0.445,3,reviewed,uu,uu
2023-05-11T15:58:29.250Z,34.5125,-97.22433333,5,2.27,ml,77,65,0.1214761622,0.34,ok,ok2023jeta,2023-05-11T16:34:57.722Z,"9 km W of Davis, Oklahoma",earthquake,,0.7,0.22,13,reviewed,ok,ok
2023-05-11T15:40:43.151Z,62.5581,-149.6675,2.4,1.5,ml,,,,0.62,ak,ak02360wkmqj,2023-05-11T15:42:30.207Z,"25 km ENE of Chase, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-05-11T15:21:10.702Z,60.9223,-151.0214,11.1,1.7,ml,,,,0.76,ak,ak02360wghmw,2023-05-11T15:24:04.108Z,"17 km SSE of Tyonek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-05-11T15:17:10.551Z,59.957,-149.1297,0.8,2.2,ml,,,,0.69,ak,ak02360wfmr3,2023-05-11T15:19:17.636Z,"21 km SE of Lowell Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-05-11T15:16:05.840Z,38.8069992,-122.817337,2.74,1.09,md,23,58,0.009438,0.02,nc,nc73886551,2023-05-11T17:13:09.911Z,"6km WNW of The Geysers, CA",earthquake,0.22,0.41,0.19,26,automatic,nc,nc
2023-05-11T15:03:01.270Z,19.4085,-155.284666666667,1.3,2.04,ml,24,82,,0.1,hv,hv73396667,2023-05-11T21:18:59.190Z,"Island of Hawaii, Hawaii",earthquake,0.2,0.14,0.152241348874897,10,reviewed,hv,hv
2023-05-11T14:50:42.270Z,19.2453327178955,-155.405670166016,32.060001373291,1.83000004,md,40,130,,0.140000001,hv,hv73396652,2023-05-11T14:53:50.860Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.67,0.810000002,1.38,18,automatic,hv,hv
